file,row,name,lat,lon
ASSOCs - UK.csv,8,,53.83994543,-1.928468587
ASSOCs - UK.csv,9,,51.51310487,-0.07928412181
ASSOCs - UK.csv,10,,51.53124094,-0.232781662
ASSOCs - UK.csv,11,,51.41638882,0.07865214005
ASSOCs - UK.csv,12,,51.41639389,0.0786537659
ASSOCs - UK.csv,13,,52.12235164,-0.2613772445
ASSOCs - UK.csv,15,,50.72850008,-1.83295871
ASSOCs - UK.csv,16,,51.52079252,-0.1220503075
ASSOCs - UK.csv,18,,52.37791166,-2.055527074
ASSOCs - UK.csv,19,,51.06352319,-0.3279854185
ASSOCs - UK.csv,20,,50.97411585,0.09774260372
ASSOCs - UK.csv,21,,50.9630167,-3.715010645
ASSOCs - UK.csv,22,,56.71494002,-2.468768029
ASSOCs - UK.csv,23,,52.40634915,0.7521792021
ASSOCs - UK.csv,24,,51.2210767,0.5514105181
ASSOCs - UK.csv,25,,51.05516347,0.02285779325
ASSOCs - UK.csv,26,,51.30646228,-0.342557441
ASSOCs - UK.csv,27,,50.19172954,-5.408425078
ASSOCs - UK.csv,28,,51.18560542,-0.6187929439
ASSOCs - UK.csv,29,,51.53032729,-0.1022436881
ASSOCs - UK.csv,30,,51.58338079,-0.604949839
ASSOCs - UK.csv,31,,51.51390631,-0.2227037143
ASSOCs - UK.csv,32,,50.86384913,-3.030402073
ASSOCs - UK.csv,33,,53.48107901,-2.226142893
ASSOCs - UK.csv,34,,52.54046033,-0.3152916265
ASSOCs - UK.csv,35,,52.94981123,-1.142057199
ASSOCs - UK.csv,36,,53.30656766,0.09946769842
ASSOCs - UK.csv,37,,52.70394774,1.33720809
ASSOCs - UK.csv,38,,51.68682232,-0.7995115339
ASSOCs - UK.csv,40,,51.18584336,-0.63305054
ASSOCs - UK.csv,41,,50.97410501,0.09771624593
ASSOCs - UK.csv,42,,51.18433191,-0.6166045277
ASSOCs - UK.csv,43,,53.36705117,-2.520929893
ASSOCs - UK.csv,44,,50.36541517,-4.41347223
ASSOCs - UK.csv,45,,51.65545985,-0.345818901
ASSOCs - UK.csv,46,,51.51987088,-0.1596388509
ASSOCs - UK.csv,47,,54.92271732,-1.419067984
ASSOCs - UK.csv,48,,51.47746675,-0.1464675187
ASSOCs - UK.csv,49,,50.90926714,0.1035360101
ASSOCs - UK.csv,50,,52.52440605,1.219640493
ASSOCs - UK.csv,51,,51.4883561,-1.486841042
ASSOCs - UK.csv,53,,50.97122708,-0.09075733908
ASSOCs - UK.csv,55,,51.49883617,-0.08348644516
ASSOCs - UK.csv,56,,56.0829762,-3.401368543
ASSOCs - UK.csv,57,,51.20593867,-2.963914373
ASSOCs - UK.csv,59,,53.43602335,-2.309643455
ASSOCs - UK.csv,60,,51.51392174,-0.1027807309
ASSOCs - UK.csv,62,,51.39332913,-0.4299956273
ASSOCs - UK.csv,63,,51.17355455,0.08513701155
ASSOCs - UK.csv,64,,53.43979196,-1.259025813
ASSOCs - UK.csv,65,,51.76627082,-0.9210802795
ASSOCs - UK.csv,66,,54.19616195,-6.34591018
ASSOCs - UK.csv,68,,51.30318642,-0.3457750691
ASSOCs - UK.csv,70,,52.29937832,-0.1505407775
ASSOCs - UK.csv,71,,51.37394129,-0.6457041947
ASSOCs - UK.csv,72,,51.1940983,0.2731760167
ASSOCs - UK.csv,73,,49.32100032,-123.0971532
ASSOCs - UK.csv,74,,52.19794001,0.1411598412
ASSOCs - UK.csv,75,,53.80966169,-1.574315371
ASSOCs - UK.csv,77,,51.47731576,-0.1465029364
ASSOCs - UK.csv,78,,51.30647126,-0.3425581768
ASSOCs - UK.csv,79,,51.51326094,-0.1411089114
ASSOCs - UK.csv,80,,51.54646526,-0.1068333503
ASSOCs - UK.csv,83,,51.48607916,-0.1186263513
ASSOCs - UK.csv,84,,50.69763155,-2.217145933
ASSOCs - UK.csv,85,,51.48606933,-0.1186250957
ASSOCs - UK.csv,86,,55.956887,-3.171011044
ASSOCs - UK.csv,87,,51.46145406,-2.588316754
ASSOCs - UK.csv,88,,51.36814351,-0.09944487881
ASSOCs - UK.csv,89,,51.5163124,-0.1115774481
ASSOCs - UK.csv,90,,52.42721633,-1.733307993
ASSOCs - UK.csv,91,,52.38712588,-1.905553659
ASSOCs - UK.csv,92,,50.41651579,-4.045333228
ASSOCs - UK.csv,93,,51.06227698,0.3394005985
ASSOCs - UK.csv,94,,51.055068,0.02284021518
ASSOCs - UK.csv,95,,54.59942768,-1.093596187
ASSOCs - UK.csv,96,,53.81094581,-2.175338767
ASSOCs - UK.csv,97,,54.86404479,-2.838072073
ASSOCs - UK.csv,98,,55.97615757,-3.183789556
ASSOCs - UK.csv,99,,51.50679129,-0.1448409844
ASSOCs - UK.csv,101,,57.12259245,-2.171962751
ASSOCs - UK.csv,104,,53.34008614,-2.808083503
ASSOCs - UK.csv,107,,51.51175157,-0.1122626352
ASSOCs - UK.csv,108,,52.73889611,-1.569611009
ASSOCs - UK.csv,109,,51.14568469,1.068987362
ASSOCs - UK.csv,110,,50.78605404,-0.7852973956
ASSOCs - UK.csv,111,,52.66483857,-2.772583692
ASSOCs - UK.csv,112,,53.51582234,-2.44142661
ASSOCs - UK.csv,113,,51.58703339,-3.336032258
ASSOCs - UK.csv,114,,50.90827262,0.3825005304
ASSOCs - UK.csv,115,,53.84987899,-3.052069028
ASSOCs - UK.csv,116,,52.19560326,0.7606531257
ASSOCs - UK.csv,117,,53.23955966,-0.5430606765
ASSOCs - UK.csv,122,,51.59697189,-3.065983511
ASSOCs - UK.csv,125,,51.51905597,-0.1461133662
ASSOCs - UK.csv,127,,50.9545441,0.3622838471
ASSOCs - UK.csv,128,,51.71372967,-0.210105192
ASSOCs - UK.csv,130,,55.96428611,-3.129515954
ASSOCs - UK.csv,131,,52.51076959,-0.7218826585
ASSOCs - UK.csv,133,,53.36074315,-1.558087418
ASSOCs - UK.csv,134,,51.60697281,0.222980917
ASSOCs - UK.csv,135,,52.2036335,-3.028644734
ASSOCs - UK.csv,136,,51.97311246,-0.5210232185
ASSOCs - UK.csv,137,,50.84798113,-1.789609982
ASSOCs - UK.csv,138,,53.09245409,0.1582043001
ASSOCs - UK.csv,139,,51.10535176,-0.8792127015
ASSOCs - UK.csv,140,,51.85039611,-0.501784902
ASSOCs - UK.csv,141,,53.39179629,-2.739084614
ASSOCs - UK.csv,142,,53.35515723,-1.503553059
ASSOCs - UK.csv,143,,51.19654284,0.2753024815
ASSOCs - UK.csv,145,,53.37602361,-1.485115143
ASSOCs - UK.csv,147,,50.4728485,-4.728834028
ASSOCs - UK.csv,149,,50.87487053,-1.244014271
ASSOCs - UK.csv,150,,51.36392483,0.5104725096
ASSOCs - UK.csv,151,,50.86503841,0.5522294991
ASSOCs - UK.csv,152,,53.27486084,-2.766822526
ASSOCs - UK.csv,153,,54.04656974,-2.888494911
ASSOCs - UK.csv,154,,54.89399219,-1.369442436
ASSOCs - UK.csv,156,,50.85016487,-1.112808992
ASSOCs - UK.csv,157,,53.72358121,-2.684419584
ASSOCs - UK.csv,158,,50.93703338,-1.294180316
ASSOCs - UK.csv,160,,51.90045914,0.9609245344
ASSOCs - UK.csv,161,,51.97311293,-0.5210338266
ASSOCs - UK.csv,162,,50.71789814,-1.304904727
ASSOCs - UK.csv,163,,51.68597903,-0.6049451856
ASSOCs - UK.csv,164,,51.93133891,1.238624503
ASSOCs - UK.csv,167,,51.85729097,1.167924941
ASSOCs - UK.csv,168,,51.16818295,-1.77325446
ASSOCs - UK.csv,169,,51.46349598,0.369085539
ASSOCs - UK.csv,170,,53.16656855,-1.179309904
ASSOCs - UK.csv,171,,53.41434534,-1.501594238
ASSOCs - UK.csv,172,,54.37788893,-2.903179803
ASSOCs - UK.csv,173,,52.60747322,0.2221519853
ASSOCs - UK.csv,174,,50.75713471,-1.555781864
ASSOCs - UK.csv,175,,51.52350942,-3.262858323
ASSOCs - UK.csv,176,,53.32807667,-1.525509114
ASSOCs - UK.csv,182,,52.29934894,-0.1505806686
ASSOCs - UK.csv,185,,53.38286614,-2.606080071
ASSOCs - UK.csv,188,,54.36586673,-2.663899971
ASSOCs - UK.csv,189,,53.28584022,-1.442064951
ASSOCs - UK.csv,190,,52.99679968,-1.624601333
ASSOCs - UK.csv,192,,53.27042613,-1.433891639
ASSOCs - UK.csv,193,,50.4806835,-3.641740848
ASSOCs - UK.csv,194,,50.43641888,-3.567863668
ASSOCs - UK.csv,195,,50.37752106,-4.069329782
ASSOCs - UK.csv,196,,53.42200071,-2.564066925
ASSOCs - UK.csv,197,,51.41351303,-2.670724114
ASSOCs - UK.csv,198,,51.4481882,-2.489013375
ASSOCs - UK.csv,199,,50.63771325,-3.465928341
ASSOCs - UK.csv,200,,50.77580685,-1.940268333
ASSOCs - UK.csv,201,,54.5102571,-1.857157494
ASSOCs - UK.csv,202,,54.71225259,-1.51230039
ASSOCs - UK.csv,203,,54.75570254,-1.603989008
ASSOCs - UK.csv,204,,54.61889406,-1.589483237
ASSOCs - UK.csv,205,,50.84096565,-0.2422888684
ASSOCs - UK.csv,206,,51.46999989,-0.02815401723
ASSOCs - UK.csv,207,,50.95455327,0.3622826359
ASSOCs - UK.csv,208,,50.84665283,-0.2263266728
ASSOCs - UK.csv,209,,50.90934903,0.1035069076
ASSOCs - UK.csv,210,,51.91328812,-2.087428751
ASSOCs - UK.csv,211,,51.45977768,-2.117760551
ASSOCs - UK.csv,212,,51.77330201,-2.322307552
ASSOCs - UK.csv,215,,51.53030974,-0.1022536647
ASSOCs - UK.csv,216,,51.2522613,-0.7694237971
ASSOCs - UK.csv,218,,51.53125444,-0.2327914563
ASSOCs - UK.csv,219,,51.58905397,-0.1642869703
ASSOCs - UK.csv,221,,51.49529841,-0.3224366114
ASSOCs - UK.csv,223,,51.26942877,-0.8512853781
ASSOCs - UK.csv,224,,50.88722778,-1.732332209
ASSOCs - UK.csv,225,,50.75714635,-1.555786097
ASSOCs - UK.csv,226,,51.33153096,-1.056490657
ASSOCs - UK.csv,227,,52.14077227,-2.682775504
ASSOCs - UK.csv,228,,53.49778931,-2.0431048
ASSOCs - UK.csv,229,,53.50784108,-2.207223283
ASSOCs - UK.csv,230,,53.59469634,-2.154087641
ASSOCs - UK.csv,232,,51.31113708,0.05067001776
ASSOCs - UK.csv,233,,51.17356769,0.08513258381
ASSOCs - UK.csv,237,,50.12884104,-5.677585122
ASSOCs - UK.csv,238,,51.36875803,0.2955754632
ASSOCs - UK.csv,239,,51.45128733,0.2492014603
ASSOCs - UK.csv,240,,51.10851511,0.7276431909
ASSOCs - UK.csv,241,,53.56704975,-2.42782318
ASSOCs - UK.csv,242,,53.64827801,-2.316774615
ASSOCs - UK.csv,243,,54.02504886,-2.7812583
ASSOCs - UK.csv,244,,54.0135514,-2.774085113
ASSOCs - UK.csv,245,,53.84986381,-3.052066775
ASSOCs - UK.csv,246,,53.77873527,-2.657669558
ASSOCs - UK.csv,247,,53.82833665,-1.425533194
ASSOCs - UK.csv,248,,52.97785253,-0.02356053545
ASSOCs - UK.csv,251,,53.03680418,0.01491361529
ASSOCs - UK.csv,252,,53.15157822,-0.5796680175
ASSOCs - UK.csv,253,,53.46240892,0.1449071499
ASSOCs - UK.csv,254,,53.14336235,0.3371542871
ASSOCs - UK.csv,255,,51.53396991,-3.436302787
ASSOCs - UK.csv,256,,53.51736141,-3.002794391
ASSOCs - UK.csv,258,,51.49527868,-0.3224392333
ASSOCs - UK.csv,259,,52.44928447,0.9054175983
ASSOCs - UK.csv,260,,52.69170725,1.701064418
ASSOCs - UK.csv,261,,52.57835407,1.727686669
ASSOCs - UK.csv,262,,52.59758552,0.9318883624
ASSOCs - UK.csv,263,,52.52438855,1.219635868
ASSOCs - UK.csv,265,,52.35037832,-0.5253499952
ASSOCs - UK.csv,266,,52.2810938,-0.6785892641
ASSOCs - UK.csv,267,,55.78983697,-2.015349143
ASSOCs - UK.csv,268,,55.03452421,-1.574723131
ASSOCs - UK.csv,269,,54.40289294,-1.735973649
ASSOCs - UK.csv,270,,54.31826584,-0.5147938454
ASSOCs - UK.csv,271,,54.45258557,-0.589588837
ASSOCs - UK.csv,272,,53.96498052,-1.112333393
ASSOCs - UK.csv,273,,53.23908296,-1.341125242
ASSOCs - UK.csv,274,,53.30794716,-0.9941414609
ASSOCs - UK.csv,275,,53.04424789,-1.318135837
ASSOCs - UK.csv,278,,52.98922978,-1.271408496
ASSOCs - UK.csv,279,,52.04040282,-1.325945264
ASSOCs - UK.csv,280,,52.46202954,-2.432243845
ASSOCs - UK.csv,281,,52.81074536,-2.720679416
ASSOCs - UK.csv,282,,51.37541742,-2.321667045
ASSOCs - UK.csv,283,,50.80175826,-1.91658596
ASSOCs - UK.csv,284,,51.20585778,-2.963897217
ASSOCs - UK.csv,286,,53.1549981,-1.840081693
ASSOCs - UK.csv,288,,52.19560439,0.7606516349
ASSOCs - UK.csv,289,,51.37415568,-0.6457978617
ASSOCs - UK.csv,290,,53.31297675,-0.7722706443
ASSOCs - UK.csv,291,,51.36814153,-0.0994449162
ASSOCs - UK.csv,293,,51.2410786,-0.4968543869
ASSOCs - UK.csv,300,,50.8300003,-0.5775425601
ASSOCs - UK.csv,302,,50.78607739,-0.7853029925
ASSOCs - UK.csv,304,,50.85696846,-0.1709319385
ASSOCs - UK.csv,305,,52.5250116,-1.455850853
ASSOCs - UK.csv,306,,52.16509273,-1.778828901
ASSOCs - UK.csv,307,,52.42719366,-1.733304834
ASSOCs - UK.csv,309,,52.41941003,-1.818258645
ASSOCs - UK.csv,314,,52.5656735,-1.944512134
ASSOCs - UK.csv,315,,51.3902981,-2.06639537
ASSOCs - UK.csv,316,,51.54512047,-1.838989787
ASSOCs - UK.csv,318,,51.6543566,0.4025967708
ASSOCs - UK.csv,320,,52.14600051,-2.283244264
ASSOCs - UK.csv,321,,52.37357837,-2.41356866
ASSOCs - UK.csv,322,,52.38654622,-2.247067348
ASSOCs - UK.csv,323,,53.57151118,-1.529908399
ASSOCs - UK.csv,324,,53.46139863,-1.520501241
ASSOCs - UK.csv,325,,53.45785566,-1.031983517
ASSOCs - UK.csv,328,,57.58866097,-3.750821609
ASSOCs - UK.csv,329,,53.84002359,-1.928462226
ASSOCs - UK.csv,330,,53.72953258,-1.541894544
ASSOCs - UK.csv,332,,53.4082831,-1.272354478
ASSOCs - UK.csv,333,,53.37600161,-1.485100314
ASSOCs - UK.csv,334,,53.33271181,-1.381273259
ASSOCs - UK.csv,335,,53.72439605,-1.531432666
